Wall time,Step,Value
1735465548.886862,15,3.9049246311187744
1735465554.837443,55,4.855701923370361
1735465557.702953,73,4.927480697631836
1735465565.222354,126,4.961756706237793
1735465576.55658,175,5.119516372680664
1735465580.351125,203,5.128637790679932
1735465581.693402,211,5.134269714355469
1735465582.3803,215,5.1377763748168945
1735465583.291776,220,5.141352653503418
1735465590.48852,267,5.145595550537109
1735465591.411739,271,5.145130157470703
1735465593.355782,284,5.142056465148926
1735465605.550537,371,5.118428707122803
1735465610.82004,399,5.1025776863098145
1735465611.760761,404,5.099987983703613
1735465613.379239,416,5.0970234870910645
1735465613.796632,418,5.094003200531006
1735465615.602343,425,5.080361843109131
1735465618.705319,440,5.063766002655029
1735465621.82879,456,5.0554118156433105
1735465630.022534,510,5.050637722015381
1735465633.758772,527,5.048329830169678
1735465635.268186,539,5.047740459442139
1735465638.329236,556,5.047641277313232
1735465640.11086,565,5.045120716094971
1735465647.453869,614,5.040896415710449
1735465648.693947,621,5.038577556610107
1735465650.402493,637,5.0378875732421875
1735465656.523287,683,5.030523777008057
1735465659.134685,705,5.028644561767578
1735465660.559395,718,5.027955055236816
1735465666.419774,754,5.022104740142822
1735465670.312297,785,5.017819881439209
1735465670.955218,788,5.015597820281982
1735465671.370194,790,5.014459133148193
1735465677.016206,825,5.002537727355957
1735465677.202364,827,5.000972747802734
1735465678.677959,837,4.996291160583496
1735465683.483809,880,4.987369060516357
1735465684.347077,887,4.986131191253662
1735465691.620379,940,4.980224132537842
1735465692.444376,944,4.978234767913818
1735465693.119714,947,4.977297782897949
1735465694.793056,957,4.974258899688721
1735465695.100378,958,4.97340202331543
1735465698.747419,977,4.967351913452148
1735465704.050215,1016,4.962343215942383
1735465704.344311,1017,4.961683750152588
1735465704.810219,1020,4.9610443115234375
1735465710.900716,1058,4.958446502685547
1735465720.211037,1142,4.950850486755371
1735465724.80158,1170,4.946702003479004
1735465728.256149,1198,4.943742275238037
1735465729.586287,1208,4.941890239715576
1735465734.33655,1232,4.933927059173584
1735465739.078403,1276,4.929933071136475
1735465743.461328,1302,4.9273152351379395
1735465746.393963,1328,4.925708770751953
1735465750.238965,1360,4.923858642578125
1735465751.996319,1370,4.9220781326293945
1735465753.349151,1376,4.921082973480225
1735465757.956363,1408,4.918899059295654
1735465768.625745,1497,4.912555694580078
1735465773.585006,1537,4.910228729248047
1735465773.882469,1538,4.909730434417725
1735465777.304732,1565,4.9071784019470215
1735465780.261114,1585,4.9052863121032715
1735465781.113636,1589,4.904831409454346
1735465782.423532,1602,4.903858184814453
1735465785.584161,1624,4.899298191070557
1735465786.895058,1636,4.898672103881836
1735465788.468482,1643,4.895277500152588
1735465788.579356,1644,4.894746780395508
1735465788.708885,1645,4.894208908081055
1735465790.069176,1654,4.892806053161621
1735465799.591951,1734,4.888505458831787
1735465804.601932,1772,4.884884357452393
1735465813.823999,1835,4.876737594604492
1735465819.829373,1895,4.874779224395752
1735465826.632277,1957,4.871819019317627
1735465828.528932,1971,4.869866371154785
1735465831.256382,1998,4.868863582611084
1735465839.217997,2062,4.86318826675415
1735465839.452147,2064,4.862679481506348
1735465848.214267,2131,4.854799270629883
1735465859.376224,2208,4.8488240242004395
1735465859.692811,2211,4.848388195037842
1735465860.841111,2219,4.847489833831787
1735465863.126418,2230,4.845101833343506
1735465868.612767,2275,4.842090606689453
1735465869.910725,2284,4.841512680053711
1735465870.719248,2290,4.841235160827637
1735465873.403082,2317,4.840396404266357
1735465877.230444,2352,4.838675022125244
1735465882.333547,2403,4.836130619049072
1735465885.660152,2426,4.835316181182861
1735465887.112656,2438,4.8350419998168945
1735465890.428938,2465,4.832350254058838
1735465891.668533,2478,4.832034111022949
1735465897.078356,2519,4.827073574066162
1735465899.97231,2545,4.8264288902282715
1735465901.209967,2555,4.825763702392578
1735465911.071512,2617,4.820919990539551
1735465915.65041,2659,4.81925630569458
1735465916.07451,2661,4.818589210510254
1735465917.31394,2668,4.817621231079102
1735465923.982795,2731,4.815139293670654
1735465927.231618,2759,4.8133015632629395
1735465928.371646,2773,4.812699794769287
1735465931.057245,2803,4.811793804168701
1735465934.9168,2824,4.810024261474609
1735465937.578836,2852,4.808482646942139
1735465937.859567,2853,4.808156490325928
1735465943.071526,2892,4.805422306060791
1735465943.480578,2894,4.804818630218506
1735465946.041797,2913,4.803645610809326
1735465946.151395,2914,4.803348541259766
1735465950.785588,2947,4.801929473876953
1735465955.425276,2993,4.800878047943115
1735465956.754629,3007,4.800638198852539
1735465958.97534,3025,4.799449443817139
1735465959.440219,3028,4.798973083496094
1735465959.827699,3030,4.798725605010986
1735465960.550399,3033,4.79822301864624
1735465960.953942,3035,4.797715187072754
1735465963.321039,3056,4.79747200012207
1735465967.180236,3085,4.796309947967529
1735465967.654729,3088,4.796072006225586
1735465974.698963,3153,4.794073581695557
1735465977.141914,3176,4.792705059051514
1735465977.854503,3182,4.79222297668457
1735465981.066107,3211,4.790947914123535
1735465983.784192,3234,4.78960657119751
1735465986.174404,3258,4.789062976837158
1735465989.588534,3285,4.785717964172363
1735465991.543342,3299,4.783970355987549
1735465991.83157,3300,4.783721923828125
1735465993.566573,3318,4.783222675323486
1735465994.345218,3325,4.7829766273498535
1735465996.295602,3331,4.78272819519043
1735465998.315776,3355,4.782475471496582
1735466000.866326,3380,4.781978130340576
1735466002.221408,3392,4.781208038330078
1735466003.539608,3404,4.780221462249756
1735466005.767438,3424,4.778930187225342
1735466006.335188,3429,4.778115272521973
1735466008.972823,3450,4.777029037475586
1735466011.027161,3465,4.776226043701172
1735466011.240985,3467,4.7759552001953125
1735466011.466901,3469,4.775418281555176
1735466012.066033,3473,4.775153636932373
1735466013.873165,3486,4.7743754386901855
1735466014.175138,3487,4.774116516113281
1735466016.226895,3508,4.773335933685303
1735466018.082993,3526,4.773072242736816
1735466021.13138,3555,4.771777153015137
1735466021.772175,3561,4.771521091461182
1735466026.298454,3604,4.769725799560547
1735466027.149656,3608,4.7689642906188965
1735466030.492573,3641,4.767943382263184
1735466031.160813,3644,4.767168045043945
1735466031.542472,3647,4.766653537750244
1735466032.217148,3653,4.76613712310791
1735466033.196763,3660,4.765223979949951
1735466034.033666,3666,4.7643232345581055
1735466035.324733,3675,4.763689041137695
1735466035.575422,3677,4.763484001159668
1735466037.080564,3694,4.763275623321533
1735466037.722466,3701,4.763077259063721
1735466043.393304,3745,4.762028217315674
1735466048.86996,3796,4.7611212730407715
1735466049.083779,3798,4.760815620422363
1735466049.441384,3800,4.76065731048584
1735466050.659236,3810,4.7600202560424805
1735466052.625661,3826,4.759486675262451
1735466056.510831,3858,4.759135723114014
1735466056.70761,3860,4.759024620056152
1735466057.010264,3863,4.758909225463867
1735466057.238766,3865,4.758674144744873
1735466058.150367,3872,4.758450984954834
1735466065.12133,3935,4.757636070251465
1735466066.4998,3948,4.757554531097412
1735466068.345515,3966,4.757312297821045
1735466068.976488,3970,4.757228851318359
1735466069.499864,3973,4.757142543792725
1735466069.747136,3975,4.75697660446167
1735466070.334991,3982,4.756889820098877
1735466072.354638,4002,4.756380081176758
1735466073.846555,4018,4.756019115447998
1735466074.134002,4019,4.755930423736572
1735466074.853564,4024,4.755787372589111
1735466075.462514,4028,4.755634307861328
1735466077.238634,4044,4.75538444519043
1735466077.530064,4045,4.755302429199219
1735466077.809995,4046,4.755225658416748
1735466077.917885,4047,4.755154132843018
1735466078.376667,4051,4.7549309730529785
1735466080.329297,4073,4.7546000480651855
1735466084.983761,4115,4.754354476928711
1735466085.899815,4122,4.75419282913208
1735466086.011813,4123,4.754114627838135
1735466086.542711,4127,4.754034519195557
1735466092.710021,4179,4.75352668762207
1735466093.007477,4180,4.753438472747803
1735466094.482089,4189,4.752983093261719
1735466096.37444,4203,4.752685546875
1735466100.172556,4233,4.752481937408447
1735466101.448663,4240,4.7522077560424805
1735466102.372194,4247,4.751945495605469
1735466103.721091,4261,4.751816749572754
1735466107.731139,4303,4.751490592956543
1735466108.553666,4309,4.7512736320495605
1735466120.667402,4423,4.749664306640625
1735466122.655656,4441,4.749492168426514
1735466123.076438,4443,4.7494049072265625
1735466124.119239,4447,4.749050617218018
1735466124.519338,4449,4.748871803283691
1735466126.248445,4462,4.748499393463135
1735466126.698696,4467,4.7483134269714355
1735466129.063409,4482,4.748133182525635
1735466134.628131,4538,4.7476301193237305
1735466138.285986,4571,4.7472028732299805
1735466139.381673,4576,4.74692964553833
1735466141.48183,4593,4.746476650238037
1735466142.618911,4601,4.746419429779053
1735466142.913795,4602,4.746365070343018
1735466143.13591,4604,4.746307373046875
1735466145.010192,4614,4.746041774749756
1735466145.655052,4616,4.745951175689697
1735466148.201542,4644,4.745816707611084
1735466148.633201,4649,4.7457709312438965
1735466150.02082,4664,4.745722770690918
1735466150.47454,4668,4.74567174911499
1735466155.157449,4720,4.745210647583008
1735466156.887964,4737,4.745149612426758
1735466158.40917,4753,4.744970321655273
1735466161.974372,4788,4.744588851928711
1735466162.429759,4792,4.744418144226074
1735466165.95697,4816,4.74393367767334
1735466166.17234,4818,4.743826866149902
1735466166.535705,4820,4.743772506713867
1735466166.760173,4822,4.743722915649414
1735466168.246562,4839,4.743588447570801
1735466169.266852,4851,4.74354362487793
1735466174.306229,4893,4.743378162384033
1735466179.351027,4940,4.743216037750244
1735466179.949352,4946,4.743197441101074
1735466181.821695,4965,4.74310827255249
1735466181.925974,4966,4.743081092834473
1735466182.487498,4972,4.743051528930664
1735466182.992568,4975,4.7430195808410645
1735466184.669982,4990,4.742890357971191
1735466185.664425,4995,4.742861270904541
1735466189.390084,5031,4.742773056030273
1735466189.69551,5032,4.742741584777832
1735466195.247663,5085,4.742469310760498
1735466198.54037,5116,4.7423295974731445
1735466198.834069,5119,4.742269515991211
1735466199.799744,5126,4.742204189300537
1735466201.108512,5140,4.7421698570251465
1735466206.024224,5193,4.741899490356445
1735466206.670475,5198,4.741856575012207
1735466207.010473,5201,4.741814613342285
1735466209.263869,5226,4.741683006286621
1735466213.780938,5256,4.741302967071533
1735466214.561343,5261,4.741220951080322
1735466215.43596,5266,4.741051197052002
1735466215.729724,5267,4.741006851196289
1735466216.973653,5276,4.740866184234619
1735466217.59824,5281,4.740781784057617
1735466222.710424,5335,4.740516662597656
1735466229.13265,5391,4.740063667297363
1735466229.635833,5394,4.739974021911621
1735466234.197525,5427,4.739744186401367
1735466234.403964,5429,4.739707946777344
