Wall time,Step,Value
1735465548.878858,15,1.264911413192749
1735465554.829598,55,2.0067968368530273
1735465557.688197,73,2.1156511306762695
1735465565.214086,126,2.174475908279419
1735465576.548274,175,2.2542009353637695
1735465580.342794,203,2.25689435005188
1735465581.685105,211,2.228760242462158
1735465582.372038,215,2.2555747032165527
1735465583.283602,220,2.259531021118164
1735465590.463638,267,2.2526001930236816
1735465591.402669,271,2.2626125812530518
1735465593.347516,284,2.2515108585357666
1735465605.54103,371,2.263590097427368
1735465610.811527,399,2.2232775688171387
1735465611.752576,404,2.235015630722046
1735465613.370902,416,2.218097686767578
1735465613.787342,418,2.1906635761260986
1735465615.594315,425,2.196481466293335
1735465618.697304,440,2.1573784351348877
1735465621.820571,456,2.1419594287872314
1735465630.014344,510,2.188143253326416
1735465633.750809,527,2.2260074615478516
1735465635.260294,539,2.2365381717681885
1735465638.320849,556,2.248835802078247
1735465640.102828,565,2.243767499923706
1735465647.445681,614,2.2320828437805176
1735465648.685491,621,2.2168803215026855
1735465650.394244,637,2.2245538234710693
1735465656.515212,683,2.238889217376709
1735465659.126621,705,2.2433626651763916
1735465660.550687,718,2.2373673915863037
1735465666.411476,754,2.237985372543335
1735465670.30422,785,2.2241837978363037
1735465670.947141,788,2.2137532234191895
1735465671.362052,790,2.220146417617798
1735465677.008077,825,2.226891040802002
1735465677.194251,827,2.228872776031494
1735465678.669896,837,2.211554765701294
1735465683.475645,880,2.2121312618255615
1735465684.338693,887,2.217686414718628
1735465691.612167,940,2.2258424758911133
1735465692.436348,944,2.2286815643310547
1735465693.111686,947,2.2347912788391113
1735465694.78476,957,2.2256200313568115
1735465695.092032,958,2.22367262840271
1735465698.739222,977,2.217251777648926
1735465704.042018,1016,2.2199018001556396
1735465704.336315,1017,2.2169651985168457
1735465704.801879,1020,2.2128686904907227
1735465710.892615,1058,2.215867519378662
1735465720.20277,1142,2.236722469329834
1735465724.793377,1170,2.2307047843933105
1735465728.247954,1198,2.235675573348999
1735465729.578291,1208,2.232179880142212
1735465734.328403,1232,2.2212412357330322
1735465739.070082,1276,2.222478151321411
1735465743.452988,1302,2.2097890377044678
1735465746.385772,1328,2.216231346130371
1735465750.230587,1360,2.2177507877349854
1735465751.98816,1370,2.2285397052764893
1735465753.340892,1376,2.2292559146881104
1735465757.948459,1408,2.23087477684021
1735465768.617654,1497,2.2194197177886963
1735465773.576965,1537,2.2248785495758057
1735465773.874188,1538,2.2238404750823975
1735465777.296177,1565,2.221994638442993
1735465780.250151,1585,2.2260138988494873
1735465781.105594,1589,2.2252566814422607
1735465782.415245,1602,2.225057363510132
1735465785.575788,1624,2.2013161182403564
1735465786.887029,1636,2.197827100753784
1735465788.460349,1643,2.1991324424743652
1735465788.571127,1644,2.200331687927246
1735465788.700884,1645,2.1977806091308594
1735465790.061085,1654,2.1908602714538574
1735465799.58361,1734,2.20095157623291
1735465804.593835,1772,2.2144076824188232
1735465813.815983,1835,2.205335855484009
1735465819.819647,1895,2.205730676651001
1735465826.623969,1957,2.2120845317840576
1735465828.52085,1971,2.2188239097595215
1735465831.248348,1998,2.2215425968170166
1735465839.206561,2062,2.210228681564331
1735465839.434205,2064,2.2117459774017334
1735465848.20646,2131,2.20717453956604
1735465859.367811,2208,2.2274155616760254
1735465859.684797,2211,2.229238986968994
1735465860.832786,2219,2.2304470539093018
1735465863.118246,2230,2.223318576812744
1735465868.604591,2275,2.224266529083252
1735465869.901695,2284,2.220412254333496
1735465870.710726,2290,2.222744941711426
1735465873.394806,2317,2.228642225265503
1735465877.221609,2352,2.231783151626587
1735465882.325365,2403,2.235969305038452
1735465885.65178,2426,2.234175682067871
1735465887.104705,2438,2.231433153152466
1735465890.420868,2465,2.221374034881592
1735465891.659923,2478,2.2206785678863525
1735465897.070129,2519,2.213610887527466
1735465899.964357,2545,2.2128376960754395
1735465901.201661,2555,2.2137370109558105
1735465911.06313,2617,2.214118480682373
1735465915.642133,2659,2.216491937637329
1735465916.066016,2661,2.214709997177124
1735465917.305692,2668,2.2119967937469482
1735465923.974673,2731,2.2100043296813965
1735465927.223373,2759,2.2084856033325195
1735465928.362515,2773,2.2093896865844727
1735465931.047862,2803,2.2126057147979736
1735465934.908388,2824,2.2143194675445557
1735465937.570392,2852,2.210144519805908
1735465937.851492,2853,2.208266496658325
1735465943.063139,2892,2.2149858474731445
1735465943.472618,2894,2.214319944381714
1735465946.032576,2913,2.2119431495666504
1735465946.143163,2914,2.2108330726623535
1735465950.777461,2947,2.2121009826660156
1735465955.417161,2993,2.218973398208618
1735465956.746452,3007,2.221304178237915
1735465958.967465,3025,2.21931529045105
1735465959.431848,3028,2.2213196754455566
1735465959.819617,3030,2.2214338779449463
1735465960.542257,3033,2.2205588817596436
1735465960.945776,3035,2.218003988265991
1735465963.312973,3056,2.219984769821167
1735465967.172064,3085,2.2206568717956543
1735465967.646664,3088,2.2187771797180176
1735465974.690565,3153,2.218984842300415
1735465977.133822,3176,2.221484661102295
1735465977.846531,3182,2.2191812992095947
1735465981.05803,3211,2.216583013534546
1735465983.77596,3234,2.2190165519714355
1735465986.165722,3258,2.218299150466919
1735465989.58013,3285,2.2178714275360107
1735465991.535501,3299,2.2135462760925293
1735465991.823174,3300,2.2134501934051514
1735465993.558435,3318,2.214639663696289
1735465994.336977,3325,2.2151057720184326
1735465996.286839,3331,2.216865062713623
1735465998.307688,3355,2.2166669368743896
1735466000.858147,3380,2.220186948776245
1735466002.213058,3392,2.222867250442505
1735466003.531633,3404,2.227084159851074
1735466005.759382,3424,2.225640058517456
1735466006.326972,3429,2.223893165588379
1735466008.96458,3450,2.222820997238159
1735466011.01915,3465,2.217750310897827
1735466011.229866,3467,2.21777606010437
1735466011.458813,3469,2.2147793769836426
1735466012.057736,3473,2.214477062225342
1735466013.865315,3486,2.215848445892334
1735466014.166933,3487,2.2167458534240723
1735466016.219057,3508,2.2196764945983887
1735466018.074763,3526,2.2189207077026367
1735466021.12305,3555,2.2190959453582764
1735466021.764088,3561,2.219440221786499
1735466026.290196,3604,2.2265572547912598
1735466027.141537,3608,2.225087881088257
1735466030.484604,3641,2.2261574268341064
1735466031.152751,3644,2.2226107120513916
1735466031.53415,3647,2.2265148162841797
1735466032.208938,3653,2.227372407913208
1735466033.188576,3660,2.228259801864624
1735466034.024977,3666,2.2267696857452393
1735466035.316775,3675,2.2229979038238525
1735466035.567391,3677,2.222064971923828
1735466037.072394,3694,2.222015857696533
1735466037.714339,3701,2.2206366062164307
1735466043.384778,3745,2.223574638366699
1735466048.861715,3796,2.227843999862671
1735466049.075793,3798,2.2289209365844727
1735466049.433437,3800,2.2290990352630615
1735466050.650959,3810,2.226187229156494
1735466052.617751,3826,2.227475881576538
1735466056.502666,3858,2.228663682937622
1735466056.699565,3860,2.230485200881958
1735466057.002065,3863,2.2312047481536865
1735466057.230143,3865,2.2296500205993652
1735466058.142118,3872,2.2298552989959717
1735466065.112992,3935,2.2468838691711426
1735466066.491846,3948,2.2459380626678467
1735466068.337265,3966,2.250556468963623
1735466068.968298,3970,2.250312089920044
1735466069.481987,3973,2.249840021133423
1735466069.73207,3975,2.2531189918518066
1735466070.325928,3982,2.2533888816833496
1735466072.346551,4002,2.253925323486328
1735466073.838643,4018,2.25270414352417
1735466074.125529,4019,2.252786636352539
1735466074.845482,4024,2.2506706714630127
1735466075.452851,4028,2.2516582012176514
1735466077.230563,4044,2.253765821456909
1735466077.521772,4045,2.253162384033203
1735466077.801763,4046,2.2536752223968506
1735466077.909912,4047,2.2529232501983643
1735466078.368541,4051,2.251866340637207
1735466080.32091,4073,2.2520699501037598
1735466084.975532,4115,2.2542505264282227
1735466085.891929,4122,2.252840042114258
1735466086.003661,4123,2.2523763179779053
1735466086.534651,4127,2.253514289855957
1735466092.701924,4179,2.25762939453125
1735466092.999283,4180,2.2588889598846436
1735466094.473844,4189,2.256823778152466
1735466096.366033,4203,2.257585287094116
1735466100.164484,4233,2.25730037689209
1735466101.440224,4240,2.256516695022583
1735466102.364132,4247,2.2702808380126953
1735466103.712775,4261,2.269702672958374
1735466107.722898,4303,2.2726669311523438
1735466108.545336,4309,2.272035837173462
1735466120.659263,4423,2.269927740097046
1735466122.647225,4441,2.268921375274658
1735466123.068342,4443,2.2675137519836426
1735466124.111176,4447,2.270047664642334
1735466124.511271,4449,2.2693076133728027
1735466126.240173,4462,2.268155813217163
1735466126.69069,4467,2.2683358192443848
1735466129.055254,4482,2.267965316772461
1735466134.619725,4538,2.2736411094665527
1735466138.277979,4571,2.275329828262329
1735466139.373582,4576,2.2732818126678467
1735466141.473758,4593,2.271815299987793
1735466142.610825,4601,2.270378589630127
1735466142.905769,4602,2.271728038787842
1735466143.127672,4604,2.271470785140991
1735466145.001644,4614,2.2720906734466553
1735466145.646925,4616,2.269542694091797
1735466148.193201,4644,2.2704339027404785
1735466148.624286,4649,2.271008253097534
1735466150.012288,4664,2.2703168392181396
1735466150.466294,4668,2.270301580429077
1735466155.149357,4720,2.27241587638855
1735466156.879749,4737,2.2735695838928223
1735466158.401335,4753,2.2722008228302
1735466161.966154,4788,2.271915912628174
1735466162.421536,4792,2.2702109813690186
1735466165.948665,4816,2.2719948291778564
1735466166.164197,4818,2.271923542022705
1735466166.527716,4820,2.2711074352264404
1735466166.751701,4822,2.2704546451568604
1735466168.238044,4839,2.2696762084960938
1735466169.258691,4851,2.271054983139038
1735466174.298247,4893,2.271515369415283
1735466179.342837,4940,2.27508807182312
1735466179.94137,4946,2.27436900138855
1735466181.813676,4965,2.277090311050415
1735466181.917959,4966,2.2767441272735596
1735466182.479455,4972,2.2768971920013428
1735466182.981424,4975,2.2762961387634277
1735466184.661381,4990,2.2742903232574463
1735466185.655497,4995,2.275239944458008
1735466189.381962,5031,2.276995897293091
1735466189.687116,5032,2.2769505977630615
1735466195.239613,5085,2.274547576904297
1735466198.532387,5116,2.271756887435913
1735466198.825466,5119,2.272447347640991
1735466199.791679,5126,2.2719626426696777
1735466201.100052,5140,2.2708113193511963
1735466206.015871,5193,2.2690911293029785
1735466206.662523,5198,2.2681117057800293
1735466207.00224,5201,2.2682130336761475
1735466209.255869,5226,2.26670503616333
1735466213.771975,5256,2.2634031772613525
1735466214.553291,5261,2.2606496810913086
1735466215.427601,5266,2.2651896476745605
1735466215.72126,5267,2.2644858360290527
1735466216.965399,5276,2.264153003692627
1735466217.590256,5281,2.2642786502838135
1735466222.701412,5335,2.2713730335235596
1735466229.124354,5391,2.27705717086792
