Wall time,Step,Value
1735465548.873899,15,0.3142857253551483
1735465554.824708,55,0.6282352805137634
1735465557.682972,73,0.7170000076293945
1735465565.209054,126,0.7153846025466919
1735465576.543357,175,0.79666668176651
1735465580.337565,203,0.8045454621315002
1735465581.680241,211,0.7821739315986633
1735465582.367008,215,0.8080850839614868
1735465583.278642,220,0.8155102133750916
1735465590.458302,267,0.8399999737739563
1735465591.397692,271,0.8500000238418579
1735465593.3421,284,0.839310348033905
1735465605.536041,371,0.8632835745811462
1735465610.806618,399,0.8476712107658386
1735465611.747518,404,0.8624324202537537
1735465613.365636,416,0.8621333241462708
1735465613.782274,418,0.850789487361908
1735465615.589238,425,0.8656790256500244
1735465618.692359,440,0.843370795249939
1735465621.815408,456,0.8106250166893005
1735465630.009387,510,0.8342307806015015
1735465633.745857,527,0.865607500076294
1735465635.245896,539,0.8742592334747314
1735465638.31596,556,0.8883478045463562
1735465640.098103,565,0.8826666474342346
1735465647.44077,614,0.879687488079071
1735465648.680552,621,0.8709923624992371
1735465650.389372,637,0.8793939352035522
1735465656.510334,683,0.8896453976631165
1735465659.120734,705,0.8934265971183777
1735465660.545665,718,0.8872222304344177
1735465666.406481,754,0.8902631402015686
1735465670.298993,785,0.8945223093032837
1735465670.94022,788,0.8958490490913391
1735465671.3571,790,0.9014999866485596
1735465677.001363,825,0.9036686420440674
1735465677.189425,827,0.9039999842643738
1735465678.664869,837,0.8910982608795166
1735465683.470617,880,0.891731858253479
1735465684.333733,887,0.8956666588783264
1735465691.60708,940,0.8983783721923828
1735465692.431446,944,0.8993582725524902
1735465693.10677,947,0.904574453830719
1735465694.779528,957,0.895520806312561
1735465695.087109,958,0.8930569887161255
1735465698.73411,977,0.8841000199317932
1735465704.037079,1016,0.8905768990516663
1735465704.33139,1017,0.8924401998519897
1735465704.797011,1020,0.8881904482841492
1735465710.88751,1058,0.8914018869400024
1735465720.198014,1142,0.9090666770935059
1735465724.788511,1170,0.9069263935089111
1735465728.242984,1198,0.9221186637878418
1735465729.573295,1208,0.9298744797706604
1735465734.32324,1232,0.9124302864074707
1735465739.065129,1276,0.9113618731498718
1735465743.448116,1302,0.8967175483703613
1735465746.38088,1328,0.8992452621459961
1735465750.225421,1360,0.8972490429878235
1735465751.983158,1370,0.906593382358551
1735465753.336001,1376,0.9054545164108276
1735465757.943524,1408,0.9104999899864197
1735465768.612603,1497,0.9008163213729858
1735465773.571855,1537,0.9050835967063904
1735465773.868787,1538,0.9039333462715149
1735465777.291299,1565,0.902557373046875
1735465780.245067,1585,0.9064077734947205
1735465781.100698,1589,0.9083225727081299
1735465782.410123,1602,0.9095512628555298
1735465785.570576,1624,0.9011250138282776
1735465786.882004,1636,0.8991900086402893
1735465788.455188,1643,0.8965749144554138
1735465788.566168,1644,0.8967682719230652
1735465788.695743,1645,0.8940425515174866
1735465790.056227,1654,0.8884337544441223
1735465799.578731,1734,0.8935483694076538
1735465804.588415,1772,0.9029799699783325
1735465813.811178,1835,0.8940821886062622
1735465819.814465,1895,0.8930623531341553
1735465826.618654,1957,0.8969600200653076
1735465828.515683,1971,0.902163565158844
1735465831.243463,1998,0.904199481010437
1735465839.198374,2062,0.9077353477478027
1735465839.429295,2064,0.907664954662323
1735465848.201548,2131,0.8993170857429504
1735465859.362646,2208,0.911347508430481
1735465859.679723,2211,0.913066029548645
1735465860.823812,2219,0.9134272336959839
1735465863.113207,2230,0.9076851606369019
1735465868.598549,2275,0.9097505807876587
1735465869.896537,2284,0.9056433439254761
1735465870.705743,2290,0.9080630540847778
1735465873.389897,2317,0.9128411412239075
1735465877.215201,2352,0.9136865139007568
1735465882.32039,2403,0.9152814149856567
1735465885.646859,2426,0.9151827692985535
1735465887.098932,2438,0.9132188558578491
1735465890.415838,2465,0.9124631285667419
1735465891.655053,2478,0.9105462431907654
